file,true_letter,model_prediction,confidence,correct
A_1.png,A,Q,25.5%,no
A_2.png,A,A,34.7%,yes
B_1.png,B,B,98.5%,yes
B_2.png,B,B,78.2%,yes
C_1.png,C,C,94.0%,yes
C_2.png,C,C,92.3%,yes
D_1.png,D,D,89.7%,yes
D_2.png,D,D,98.1%,yes
E_1.png,E,E,65.4%,yes
E_2.png,E,E,93.4%,yes
F_1.png,F,F,90.7%,yes
F_2.png,F,P,76.3%,no
G_1.png,G,G,94.5%,yes
G_2.png,G,G,95.4%,yes
H_1.png,H,V,14.9%,no
H_2.png,H,T,58.2%,no
I_1.png,I,I,58.3%,yes
I_2.png,I,I,53.3%,yes
J_1.png,J,J,92.7%,yes
J_2.png,J,J,78.4%,yes
K_1.png,K,K,19.7%,yes
K_2.png,K,K,97.6%,yes
L_1.png,L,I,50.8%,no
L_2.png,L,I,63.8%,no
M_1.png,M,M,94.7%,yes
M_2.png,M,M,95.9%,yes
N_1.png,N,N,66.8%,yes
N_2.png,N,N,84.7%,yes
O_1.png,O,O,74.5%,yes
O_2.png,O,X,14.7%,no
P_1.png,P,P,76.1%,yes
P_2.png,P,P,86.3%,yes
Q_1.png,Q,Q,97.4%,yes
Q_2.png,Q,Q,93.2%,yes
R_1.png,R,R,54.5%,yes
R_2.png,R,R,91.3%,yes
S_1.png,S,S,89.2%,yes
S_2.png,S,S,90.0%,yes
T_1.png,T,T,95.0%,yes
T_2.png,T,T,97.9%,yes
U_1.png,U,U,84.2%,yes
U_2.png,U,U,95.4%,yes
V_1.png,V,V,67.2%,yes
V_2.png,V,V,85.8%,yes
W_1.png,W,W,93.7%,yes
W_2.png,W,W,92.6%,yes
X_1.png,X,X,95.2%,yes
X_2.png,X,X,81.7%,yes
Y_1.png,Y,Y,96.3%,yes
Y_2.png,Y,Y,98.1%,yes
Z_1.png,Z,Z,95.6%,yes
Z_2.png,Z,Z,97.9%,yes
